species_name,diameter_mean,diameter_min,diameter_max,diameter_median,diameter_sd,n,range
KEWENSIS X,3.4423076923076925,2,8,2,1.2192368357043932,26,6
KOBUS,8.218675595238095,0,37,0,5.981136283254797,672,37
KOREANA,3,3,3,3,0,3,0
KOUSA,3.765151515151515,2,28,2,2.2865248002603895,198,26
LASIOCARPA,4,4,4,4,NA,1,0
LAVALLEI  X,4.755912162162162,0,24,0,3.586132496685501,296,24
LAWSONIANA,21.16058394160584,3,99,3,11.610260153544171,137,96
LEYLANDII,49,49,49,49,NA,1,0
LILIIFLORA,5.0625,3,9.25,3,2.238924762226076,12,6.25
LOEBNERI  X,3,3,3,3,NA,1,0
LUTEA,4.833333333333333,3,6.5,3,1.7559422921421233,3,3.5
MAACKII,3.3333333333333335,3,4,3,0.5,9,1
MACROCARPA,19.636363636363637,3,32,3,9.840344829508586,33,29
MACROPHYLLUM,23.88345588235294,3,56,3,12.907438359544726,136,53
MARIANA,15.357142857142858,10.75,19.25,10.75,3.2010972821087162,7,8.5
MAS,7.375,3,15.5,3,4.312376480444502,12,12.5
MATSUDANA,23,23,23,23,NA,1,0
MAXIMA,24.75,3,36,3,15.56438241627338,4,33
MENZIESII,23.792894736842104,3,62,3,10.1018079234459,190,59
MERTENSIANA,20.25,15,28,15,5.560275772537426,4,13
MIYABEI,3,3,3,3,0,4,0
MONADELPHA,3.2,3,5,3,0.6324555320336759,10,2
MONOGYNA,9,7,11,7,1.8257418583505538,4,4
MONTICOLA,16.88888888888889,6,26,6,6.313565641625271,9,20
MORDENSIS,3.614,2,9,2,1.2150368373547495,125,7
MUGO,7.833333333333333,3,12,3,3.3714487489307423,6,9
NEGUNDO,17.28472222222222,4.5,40,4.5,8.542572541975902,36,35.5
NIGRA,18.261061946902654,3,72,3,10.454268468876366,113,69
NIGRUM,6.9411764705882355,3,12.5,3,3.6938815667819895,17,9.5
NOBILIS,7.033333333333333,6.8,7.3,6.8,0.2516611478423583,3,0.5
NOOTKATENSIS,16.244444444444444,3,32,3,7.338892520969593,45,29
NORDMANNIANA,12,12,12,12,NA,1,0
NUTTALLII,23.25,2,99,2,22.559337606306045,137,97
OBASSIA,4,2,7.5,2,1.569382987980615,28,5.5
OBTUSA,11.444444444444445,3,27.5,3,9.517892507156075,9,24.5
OCCIDENTALIS,7.1967592592592595,3,41,3,6.292987764720571,108,38
OFFICIANALIS,2,2,2,2,0,6,0
OFFICINALIS,3,3,3,3,NA,1,0
OMORIKA,5.45,3,13.5,3,4.186287137786896,10,10.5
ORIENTALIS,19,6,27,6,11.357816691600547,3,21
ORNUS,7.110567010309278,2,30,2,5.951892996919693,194,28
OXYACANTHA,10.808396946564885,3,24,3,4.007858399309248,131,21
OXYCARPA,12.709024390243902,3,28.5,3,5.654182819581035,205,25.5
PADUS,22.5,15,38,15,7.172478263783337,10,23
PALMATUM,8.410266159695817,1,51,1,6.320375472398355,263,50
PALUSTRIS,14.837209302325581,2,50,2,11.620876791176764,258,48
PANICULATA,7,7,7,7,NA,1,0
PAPYRIFERA,22.99811320754717,8,44.5,8,7.525258507341937,53,36.5
PAVIA,15.818181818181818,3,27,3,6.493353244944893,11,24
PENDULA,19.30767716535433,3,48,3,6.574465736620901,508,45
PENNSYLVANICA,7.638513513513513,2,25.5,2,4.935811150865796,222,23.5
PENNSYLVANICUM,6.972222222222222,3,27,3,5.380991113120066,18,24
PERSICA,4.4834905660377355,2,18,2,2.580089882688166,318,16
PHAENOPYRUM,4.787735849056604,3,20,3,2.3671342058715994,106,17
PHELLOS,19.8875,0,305,0,67.16654844685081,20,305
PISIFERA,16.513636363636362,3,46.8,3,10.035854553717716,22,43.8
PLATANOIDES,17.495189557321225,0,51,0,10.410495954287745,4405,51
PLATYPHYLLA,37.5,31,44,31,9.192388155425117,2,13
PLATYPHYLLOS,12.9375,6,23,6,8.230767626065367,8,17
PLICATA,21.164777327935223,3,72,3,12.385289688238935,247,69
PONDEROSA,35.75,17,54.5,17,26.516504294495533,2,37.5
POPULIFOLIA,20.828125,11,33,11,7.140680844055885,16,22
PRINUS,9.416666666666666,6,13,6,2.2894686428659963,6,7
PROCERA,25.90740740740741,7,53,7,9.402114161838853,27,46
PSEUDOACACIA,20.335416666666667,3,57,3,13.668231599952133,144,54
PSEUDOCAMELLIA,3.5107142857142857,3,6.25,3,0.8258018877212471,70,3.25
PSEUDOPLATANUS,16.535925925925927,0.5,62,0.5,5.466587412873803,810,61.5
PUMILA,16.911979166666665,3,38,3,10.218658746038173,96,35
PUNGENS,12.908653846153847,3,30,3,6.662197431998401,52,27
PURSHIANA,24,24,24,24,NA,1,0
QUADRANGULATA,22,12,32,12,14.142135623730951,2,20
RACEMOSA,12.5,3,22,3,13.435028842544403,2,19
REGIA,14.363636363636363,3,32.5,3,8.822813919297259,11,29.5
RETICULATA,3.145374449339207,0,12,0,1.066541933282733,227,12
